sample_id,group,motif,sf_wale,sf_course,pressure,cable_angle,crown_height,cable_tension,mean_stress,L_def_mm,L_flat_mm,L_ratio
244,motif1_cable,1,1.1061355146217824,1.0050071927221678,556.2489880203448,31.930687600493226,0.15185075,0.0,878.55371687,4013.4844480178876,1196.27364,3.3549886195083998
245,motif1_cable,1,1.1585091994819414,1.283089610809434,959.147911849653,166.5078384368866,0.07168529,0.0,4134.8806183,3902.9914978553297,1196.27364,3.2626243422494294
246,motif1_cable,1,1.3608211093346307,1.2151703349686065,337.7483253059406,95.96350559215672,0.02587612,0.0,3382.51413044,3875.7078724295507,1196.27364,3.2398171645991893
247,motif1_cable,1,0.967259307401748,0.8956681044641295,260.6458860251618,76.73638498158789,0.23071754,0.0,426.81608353,4256.647640450314,1196.27364,3.55825581883616
248,motif1_cable,1,0.8054888346353611,0.822212072338458,1142.2722412819812,25.21611698434752,0.0,0.0,2074.00946459,3871.726376752327,1196.27364,3.236488916325472
249,motif1_cable,1,1.0718113504236264,1.0625573342452588,650.9472177879593,175.57144808403325,0.14011791,0.0,1295.95015695,3989.1796195707357,1196.27364,3.334671505066965
250,motif1_cable,1,1.0814014387946642,1.227382698536259,890.0517388751709,0.1673843960434896,0.08633271,0.0,3313.8022015,3917.876129406698,1196.27364,3.2750668395624754
251,motif1_cable,1,0.9931220206998768,0.8661547521681848,315.5907237876671,144.622035410081,0.23928268,0.0,599.38288882,4306.165920913652,1196.27364,3.5996495926414065
252,motif1_cable,1,0.8103040146493679,1.198101816066966,986.5249815452848,52.40630827428979,0.1187162,0.0,3172.68779825,3986.7620347649226,1196.27364,3.3326505754694415
253,motif1_cable,1,1.2662562333467042,1.311774648643326,732.5409098732438,30.6873490025712,0.047,12.00037552,4583.5610602,3884.3810984210504,1196.27364,3.2470673669788885
254,motif1_cable,1,1.174005577389923,1.2971251480617816,289.3497329522828,174.80976090144432,0.02108085,0.0,4212.31251756,3874.7048179828653,1196.27364,3.2389786821540816
255,motif1_cable,1,1.2709418467467082,0.8496053539884934,1191.3827250712995,103.82806840911202,0.20161801,0.0,2255.73099761,4156.913101900744,1196.27364,3.4748848113887587
256,motif1_cable,1,1.167837821329921,1.357655073357985,400.2248536033429,35.52725542982167,0.02381927,0.0,5185.26963435,3875.9538771762,1196.27364,3.2400228071365014
257,motif1_cable,1,1.3308557344067458,0.9650805565006138,598.659104811298,123.07403985904271,0.09154293,0.0,1932.12513059,3926.3917925891487,1196.27364,3.282185330598064
258,motif1_cable,1,1.0278091808828922,1.107235302989488,552.2824196655249,63.7688447315392,0.10888473,0.0,1668.24822797,3948.483137128863,1196.27364,3.300652129331265
259,motif1_cable,1,1.0789584409599815,1.27755963862649,792.5799242806268,69.3741813243905,0.06381725,0.0,3990.98478103,3894.7415658669674,1196.27364,3.2557279836634767
260,motif1_cable,1,1.3232060489101165,0.8106210911600484,707.945398391065,7.112403864381776,0.12823389,134.65527577,2306.42360102,4144.121727086874,1196.27364,3.4641921283886807
261,motif1_cable,1,1.284118723220712,1.047273207793464,977.181238123228,20.55663013362041,0.12617567,0.0,1854.24834429,3966.408004003258,1196.27364,3.315636047955766
262,motif1_cable,1,1.1465765302618447,1.023151650962857,766.4622437046777,121.04911883682256,0.15477744,0.0,1198.23216446,4017.7048838475143,1196.27364,3.358516604819208
263,motif1_cable,1,0.9210659302208116,1.1612748777635502,341.9994036688871,28.271648028460994,0.05928248,17.61924869,2286.82459541,3896.80090356407,1196.27364,3.2574494440620376
