motif,sf,knit_dir,pressure,crown_height,mean_stress,max_stress,H_mean_x0,H_mean_y0,r_x0,r_y0,von_mises_x0,von_mises_y0,T_wale_x0,T_course_y0,sim_failed
2,1.3,0.0,1000.0,0.09190496,3107.61366774,3190.41450142,0.6851152426147964,0.6857520044948017,0.052864597298549316,0.05526205648370984,3114.599944444444,3153.1431916666666,2408.8170622222224,3572.963702083334,False
2,1.31,0.0,1000.0,0.08893568,3210.06605367,3289.09564976,0.6651994013563567,0.6659967214173796,0.052861267767154274,0.05526176176776673,3216.8029355555564,3253.4620479166665,2485.5750422222222,3686.2457291666665,False
2,1.3199999999999998,0.0,1000.0,0.08611372,3313.98157889,3389.48136402,0.6460774805341108,0.6470227576111386,0.052858301071520536,0.05526158280542766,3320.48154,3355.3832666666663,2563.561084444445,3801.35613125,False
2,1.33,0.0,1000.0,0.08343045,3419.30856668,3491.5026799,0.6277280722796427,0.6288015547637953,0.052855660860419984,0.05526149645266889,3425.5835133333335,3458.8449895833332,2642.7270466666664,3918.224102083333,False
2,1.3399999999999999,0.0,1000.0,0.08087772,3525.99992028,3595.09620335,0.6101231479056096,0.5455455154786519,0.0528533067731805,0.055261491546427635,3532.0611088888886,3563.7906270833337,2723.028915555555,4036.784745833333,False
2,1.35,0.0,1000.0,0.07844774,3634.01271573,3700.20382992,0.593231095970614,0.5306601718512499,0.05285121276350213,0.05526155535108094,3639.870815555556,3670.168379166667,2804.4265022222226,4156.97859375,False
2,1.3599999999999999,0.0,1000.0,0.07613323,3743.30790138,3806.77237242,0.5770247012136547,0.5163708384410309,0.05284934177466091,0.05526167183715155,3748.973002222223,3777.930933333333,2886.8832022222223,4278.7512937500005,False
2,1.37,0.0,1000.0,0.07392728,3853.84996613,3914.75320837,0.5165403154505095,0.5026446446169963,0.05284767235654107,0.05526183011927762,3859.3315666666667,3887.035147916666,2970.3656777777774,4402.053252083334,False
2,1.38,0.0,1000.0,0.07182342,3965.60663042,4024.10192544,0.5028231931712993,0.48945970490335294,0.05284617642367344,0.05526202757511556,3970.9137022222226,3997.441695833333,3054.8435400000003,4526.8392020833335,False
2,1.39,0.0,1000.0,0.06981561,4078.54855287,4134.77798096,0.48965567957899364,0.4767935349126122,0.05284484088115689,0.05526225269364118,4083.6895422222224,4109.1147125,3140.28918,4653.067864583333,False
2,1.4,0.0,1000.0,0.06789816,4192.64906255,4246.7443713,0.4770137696288318,0.46461982244260913,0.052843649446577164,0.055262511286421775,4197.631926666667,4222.021535416667,3226.67744,4780.701591666667,False
