sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,E2,r,nu,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,cable_wale_tension,cable_course_tension,verts_path,stress_path,H_mean_x0,r_x0,H_mean_y0,r_y0,vm_x0,vm_y0,H_anisotropy
2075,material_ext_nocable,3,False,1.209433800046623,1.2693000862856572,73.85377901621384,233.04535941695087,7179.989864274784,9931.436510608797,0.7229558238231792,0.1516564293098537,0.07089382,4603.11562368,4464.65231934,6.23008797,279.4410621,,,,,0.5199789706973614,0.0529568679007859,6.983878210055751,0.0784949205927152,4507.465955555555,4431.15983125,-1.7228204331867762
2077,material_ext_nocable,3,False,1.2911926056258558,1.26276621735331,10.699602036588109,869.318068656222,14819.511505554992,8670.29542003951,1.7092279775499806,0.1907596633204811,0.06277747,4599.43032497,4541.54362726,2.92091625,249.47645975,,,,,0.45885383221759596,0.052852234659351724,0.4944913402302072,0.055433467724600026,4574.52764,4536.538441666667,-0.07476307436709116
2078,material_ext_nocable,3,False,1.083139429735053,0.8788284765241533,31.046069966973562,675.2862230540366,7896.265198468987,19469.52176028179,0.4055705782448917,0.24804262719133785,0.04227793,2425.8613601,2396.11753516,1.48986637,139.38679652,,,,,0.3285965088022304,0.05280750067688864,0.29886448089966394,0.05535126543357272,2401.566582222222,2403.6437729166664,0.09476932714714932
2080,material_ext_nocable,3,False,0.815139628889404,0.9998746058296533,48.65648619716762,449.4633456056045,4561.801450893981,15550.163382554227,0.29336035504372127,0.27205990356722815,0.01328944,5574.91508035,5572.55166779,0.31620701,298.92362958,,,,,,0.05282639768486777,,0.05527479593602126,,,
2081,material_ext_nocable,3,False,0.8116411019378018,1.1735216102318338,72.20871917492504,735.6124149052977,10414.203946088577,1619.9856619401455,6.428577851495427,0.21798705070083,0.17034708,2255.18186386,1632.74110072,13.28465606,85.03254395,,,,,2.1584322854267235,0.0582506858666151,3.3682536097536238,0.06961619763449263,1664.6181681818184,1539.439338297872,-0.43781077747948305
2079,material_ext_nocable,3,False,1.2196946391584405,1.227695886294926,61.241380367559,343.2773846477015,19898.058866085565,8069.661459337118,2.465786076200536,0.12275167623800409,0.0613324,5325.77653872,5242.23948936,5.75248716,354.77635305,,,,,0.4538201561289432,0.05314937771958441,0.4740509211949063,0.05594827203169213,5245.69784888889,5258.599838297872,-0.04360684487399337
2082,material_ext_nocable,3,False,0.842783684601222,1.0160661014074592,53.07170636881948,535.2486277011725,3598.2045268586844,17729.004183476263,0.20295581689874453,0.151869045604008,0.03388119,5786.27078419,5762.34803336,1.47461567,311.74028015,,,,,0.2652750903736958,0.0528220609387696,0.2396698595140586,0.05531815273267558,5774.268186666667,5757.350462500001,0.1014179104685731
2085,material_ext_nocable,3,False,1.2920409481341948,0.8965088428470593,61.44464852101494,612.0935482340403,3026.9114784418352,7957.855780993735,0.3803677223795894,0.28993868663240285,0.14703401,3149.13027232,2842.12444438,21.11475363,146.74062701,,,,,1.095245787489451,0.05367722666262374,0.8778620073989984,0.05790204455741867,2929.479725,2770.38944893617,0.22034658284114927
2083,material_ext_nocable,3,False,0.8085316599875128,1.078315967112057,66.37352307384506,724.1568369831919,2456.807943163736,13359.829119410795,0.1838951622213629,0.18430978382546456,0.00553591,3438.3559325,3427.54857555,28.04908905,144.18496578,,,,,,0.17305207495751143,,0.1374319236690298,,,
2087,material_ext_nocable,3,False,1.0737205515062163,1.080370693577067,19.769537652591794,813.0881530628674,12888.174552540842,15463.011577456693,0.8334841171127577,0.13688912591663502,0.10375994,4232.454776,4068.64633577,9.13001271,223.74210026,,,,,0.8011553373415516,0.05323996237620552,0.6818526502546659,0.05587743842464332,4051.3144311111096,4154.909678723404,0.1608928449269669
